,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,is_podium,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
56,Emilia Romagna Grand Prix,max_verstappen,59.0,2,2,113.0,2,2,red_bull,1,79.295,78.793,87.999,1.0,2.0,2.619047619047619,1,0.9047619047619048,1.3333333333333333,21,1,5.089108910891089,0,14.05,9.3,0.1,73.5
57,Emilia Romagna Grand Prix,ocon,20.0,9,0,22.0,6,0,alpine,16,82.338,82.338,82.338,9.0,5.0,8.818181818181818,0,0.0454545454545454,7.333333333333333,22,1,8.847457627118644,0,14.05,9.3,0.1,73.5
58,Emilia Romagna Grand Prix,stroll,1.0,18,0,5.0,9,0,aston_martin,15,80.342,88.119,88.119,8.0,3.0,11.0,0,0.0,12.666666666666666,22,1,9.701923076923077,0,14.05,9.3,0.1,73.5
59,Emilia Romagna Grand Prix,gasly,6.0,13,0,16.0,7,0,alphatauri,17,80.732,80.732,80.732,7.0,4.0,7.809523809523809,0,0.0476190476190476,7.333333333333333,21,1,9.035714285714286,0,14.05,9.3,0.1,73.5
60,Emilia Romagna Grand Prix,leclerc,86.0,1,2,124.0,1,2,ferrari,2,78.79599999999999,79.584,88.77799999999999,4.0,2.0,5.913043478260869,0,0.1739130434782608,4.333333333333333,23,1,5.490196078431373,0,14.05,9.3,0.1,73.5
61,Emilia Romagna Grand Prix,norris,35.0,6,0,46.0,4,0,mclaren,5,80.168,79.294,89.131,3.0,2.0,6.916666666666667,1,0.1666666666666666,6.333333333333333,24,1,8.703125,0,14.05,9.3,0.1,73.5
62,Emilia Romagna Grand Prix,russell,49.0,4,0,77.0,3,0,mercedes,11,80.383,80.757,80.757,4.0,1.0,11.3,0,0.1,7.0,20,0,4.761904761904762,0,14.05,9.3,0.1,73.5
63,Emilia Romagna Grand Prix,albon,1.0,17,0,1.0,10,0,williams,18,,,,0.0,0.0,12.333333333333334,0,0.0,12.333333333333334,3,0,12.55,0,14.05,9.3,0.1,73.5
64,Emilia Romagna Grand Prix,latifi,0.0,21,0,1.0,10,0,williams,19,81.971,81.971,81.971,0.0,0.0,15.19047619047619,0,0.0,14.666666666666666,21,0,12.955555555555556,0,14.05,9.3,0.1,73.5
65,Emilia Romagna Grand Prix,tsunoda,10.0,12,0,16.0,7,0,alphatauri,12,80.474,80.474,80.474,12.0,3.0,11.7,0,0.0,11.0,20,1,10.615384615384617,0,14.05,9.3,0.1,73.5
