,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
221,Belgian Grand Prix,vettel,20.0,12,0,24.0,9,0,aston_martin,10,106.344,106.344,106.344,5.0,0.0,11.06896551724138,0.0344827586206896,12.666666666666666,29,1,9.15277777777778,0,19.450000000000003,13.6,0.0,54.5
234,Belgian Grand Prix,latifi,0.0,20,0,4.0,10,0,williams,11,106.401,106.401,106.401,9.0,0.0,15.20689655172414,0.0,15.333333333333334,29,1,13.142857142857142,0,19.450000000000003,13.6,0.0,54.5
236,Belgian Grand Prix,mick_schumacher,12.0,15,0,34.0,7,0,haas,19,106.342,107.718,107.718,16.0,0.0,15.071428571428571,0.0,11.666666666666666,28,1,14.055944055944057,0,19.450000000000003,13.6,0.0,54.5
240,Dutch Grand Prix,vettel,20.0,12,0,25.0,9,0,aston_martin,19,72.391,72.391,72.391,13.0,2.0,10.966666666666669,0.0333333333333333,9.666666666666666,30,1,9.136986301369864,0,24.25,6.9,0.1,59.0
253,Dutch Grand Prix,latifi,0.0,20,0,4.0,10,0,williams,20,73.353,73.353,73.353,16.0,1.0,15.3,0.0,16.0,30,1,13.191919191919192,0,24.25,6.9,0.1,59.0
254,Dutch Grand Prix,mick_schumacher,12.0,15,0,34.0,7,0,haas,8,71.741,71.42,71.44200000000001,18.0,2.0,15.137931034482758,0.0,15.333333333333334,29,1,14.07638888888889,0,24.25,6.9,0.1,59.0
267,Italian Grand Prix,latifi,0.0,21,0,6.0,10,0,williams,10,82.587,82.587,82.587,11.0,1.0,15.387096774193548,0.0,18.0,31,1,13.24,0,24.200000000000003,3.1,0.0,55.0
268,Italian Grand Prix,tsunoda,10.0,17,0,172.0,4,0,red_bull,20,82.02,82.02,82.02,0.0,0.0,12.241379310344827,0.0,16.0,29,0,10.95945945945946,0,24.200000000000003,3.1,0.0,55.0
269,Italian Grand Prix,mick_schumacher,12.0,15,0,34.0,7,0,haas,17,83.005,83.005,83.005,15.0,1.0,15.066666666666666,0.0,14.666666666666666,30,1,14.06896551724138,0,24.200000000000003,3.1,0.0,55.0
271,Italian Grand Prix,de_vries,2.0,20,0,6.0,10,0,williams,8,82.56700000000001,82.471,82.471,0.0,0.0,9.083404998214196,0.1760889227262577,9.253604749787955,0,0,13.37735849056604,0,24.200000000000003,3.1,0.0,55.0
273,Singapore Grand Prix,vettel,24.0,12,0,37.0,7,0,aston_martin,13,115.602,114.38,114.38,0.0,0.0,11.064516129032258,0.032258064516129,10.666666666666666,31,0,9.202702702702704,0,26.2,5.0,1.15,83.5
285,Singapore Grand Prix,mick_schumacher,12.0,16,0,34.0,8,0,haas,12,115.736,114.37,114.37,0.0,0.0,14.96774193548387,0.0,14.0,31,0,14.054794520547944,0,26.2,5.0,1.15,83.5
288,Japanese Grand Prix,vettel,32.0,11,0,45.0,7,0,aston_martin,9,91.256,90.656,90.554,0.0,0.0,10.96875,0.03125,10.0,32,0,9.186666666666667,0,16.85,7.199999999999999,0.0,76.5
290,Japanese Grand Prix,ricciardo,29.0,12,0,130.0,5,0,mclaren,11,90.88,90.659,90.659,0.0,0.0,9.666666666666666,0.0277777777777777,12.333333333333334,36,0,9.666666666666666,0,16.85,7.199999999999999,0.0,76.5
300,Japanese Grand Prix,latifi,2.0,20,0,8.0,10,0,williams,20,91.511,91.511,91.511,0.0,0.0,15.375,0.0,17.0,32,0,13.257425742574258,0,16.85,7.199999999999999,0.0,76.5
302,Japanese Grand Prix,mick_schumacher,12.0,16,0,34.0,8,0,haas,15,91.152,91.439,91.439,0.0,0.0,14.90625,0.0,12.666666666666666,32,0,14.047619047619047,0,16.85,7.199999999999999,0.0,76.5
304,United States Grand Prix,hamilton,103.0,6,0,222.0,2,2,ferrari,3,96.148,95.732,94.947,2.0,2.0,3.8684210526315774,0.6052631578947368,4.0,38,1,3.8684210526315774,0,25.4,23.85,0.3,73.0
306,United States Grand Prix,vettel,36.0,11,0,49.0,7,0,aston_martin,10,96.695,96.398,96.398,10.0,2.0,10.818181818181818,0.0303030303030303,9.333333333333334,33,1,9.144736842105264,0,25.4,23.85,0.3,73.0
317,United States Grand Prix,latifi,2.0,20,0,8.0,10,0,williams,17,97.244,97.244,97.244,15.0,2.0,15.181818181818182,0.0,14.0,33,1,13.215686274509803,0,25.4,23.85,0.3,73.0
319,United States Grand Prix,mick_schumacher,12.0,16,0,36.0,8,0,haas,16,97.111,97.111,97.111,16.0,2.0,14.969696969696969,0.0,14.0,33,1,14.067567567567568,0,25.4,23.85,0.3,73.0
322,Mexico City Grand Prix,alonso,16.0,14,0,36.0,8,0,aston_martin,9,80.006,79.27199999999999,78.939,9.0,1.0,8.685714285714285,0.0285714285714285,10.0,35,1,8.685714285714285,0,17.65,7.0,0.05,61.0
323,Mexico City Grand Prix,vettel,36.0,11,0,49.0,7,0,aston_martin,16,80.419,80.419,80.419,7.0,1.0,10.735294117647058,0.0294117647058823,7.333333333333333,34,1,9.12987012987013,0,17.65,7.0,0.05,61.0
337,Mexico City Grand Prix,latifi,2.0,20,0,8.0,10,0,williams,18,81.167,81.167,81.167,17.0,2.0,15.235294117647058,0.0,13.666666666666666,34,1,13.25242718446602,0,17.65,7.0,0.05,61.0
338,Mexico City Grand Prix,mick_schumacher,12.0,16,0,36.0,8,0,haas,15,80.419,80.419,80.419,0.0,0.0,14.970588235294118,0.0,15.0,34,0,14.073825503355703,0,17.65,7.0,0.05,61.0
342,São Paulo Grand Prix,vettel,36.0,11,0,50.0,7,0,aston_martin,9,73.597,71.678,71.678,11.0,4.0,10.82857142857143,0.0285714285714285,9.333333333333334,35,1,9.192307692307692,0,18.700000000000003,20.0,0.0,99.5
352,São Paulo Grand Prix,albon,46.0,8,0,59.0,5,0,williams,19,74.324,71.631,71.631,0.0,0.0,12.6,0.0,8.0,15,0,12.59375,0,18.700000000000003,20.0,0.0,99.5
353,São Paulo Grand Prix,latifi,2.0,20,0,8.0,10,0,williams,18,75.095,75.095,75.095,16.0,4.0,15.314285714285717,0.0,14.666666666666666,35,1,13.298076923076923,0,18.700000000000003,20.0,0.0,99.5
355,São Paulo Grand Prix,mick_schumacher,12.0,16,0,37.0,8,0,haas,12,76.361,76.361,76.361,18.0,5.0,15.0,0.0,16.0,35,1,14.086666666666666,0,18.700000000000003,20.0,0.0,99.5
358,Abu Dhabi Grand Prix,vettel,37.0,12,0,55.0,7,0,aston_martin,9,85.523,84.974,84.961,11.0,1.0,10.833333333333334,0.0277777777777777,11.0,36,1,9.21518987341772,0,30.35,26.05,0.0,45.5
372,Abu Dhabi Grand Prix,latifi,2.0,20,0,8.0,10,0,williams,20,86.054,86.054,86.054,0.0,0.0,15.333333333333334,0.0,17.0,36,0,13.323809523809524,0,30.35,26.05,0.0,45.5
374,Abu Dhabi Grand Prix,mick_schumacher,12.0,16,0,37.0,8,0,haas,12,85.711,85.225,85.225,14.0,2.0,14.944444444444445,0.0,14.666666666666666,36,1,14.079470198675496,0,30.35,26.05,0.0,45.5
391,Bahrain Grand Prix,de_vries,0.0,14,0,0.0,8,0,alphatauri,19,92.121,92.121,92.121,0.0,0.0,9.0,0.0,9.0,1,0,11.383838383838384,0,32.150000000000006,9.1,0.0,15.5
400,Saudi Arabian Grand Prix,sainz,13.0,15,0,59.0,5,0,williams,4,89.411,88.957,88.931,5.5,1.5,5.205128205128205,0.3333333333333333,12.0,39,2,5.205128205128205,0,27.4,22.8,0.0,46.5
402,Saudi Arabian Grand Prix,gasly,19.0,13,0,19.0,10,0,alpine,9,89.89,89.411,89.357,7.0,1.5,9.64102564102564,0.0256410256410256,6.0,39,2,9.666666666666666,0,27.4,22.8,0.0,46.5
408,Saudi Arabian Grand Prix,de_vries,0.0,18,0,0.0,9,0,alphatauri,18,90.244,90.244,90.244,0.0,0.0,11.5,0.0,11.5,2,0,11.41,0,27.4,22.8,0.0,46.5
411,Australian Grand Prix,hamilton,103.0,6,0,222.0,2,2,ferrari,3,77.689,77.551,77.104,4.0,1.0,4.113636363636363,0.5909090909090909,4.0,44,1,4.113636363636363,0,7.15,5.05,0.0,97.0
417,Australian Grand Prix,max_verstappen,69.0,1,2,123.0,1,3,red_bull,1,77.384,77.056,76.732,0.0,0.0,2.3095238095238093,0.8809523809523809,1.3333333333333333,42,0,4.557377049180328,0,7.15,5.05,0.0,97.0
425,Australian Grand Prix,de_vries,0.0,20,0,1.0,9,0,alphatauri,15,78.45,78.33500000000001,78.33500000000001,0.0,0.0,12.333333333333334,0.0,12.333333333333334,3,0,11.435643564356436,0,7.15,5.05,0.0,97.0
427,Australian Grand Prix,sargeant,0.0,19,0,1.0,10,0,williams,18,78.557,78.557,78.557,0.0,0.0,14.0,0.0,14.0,2,0,13.34862385321101,0,7.15,5.05,0.0,97.0
433,Azerbaijan Grand Prix,kevin_magnussen,1.0,18,0,7.0,7,0,haas,16,103.417,103.417,103.417,0.0,0.0,13.19047619047619,0.0,13.333333333333334,21,0,12.714285714285714,0,22.35,13.0,0.0,52.5
443,Azerbaijan Grand Prix,tsunoda,10.0,17,0,172.0,4,0,red_bull,8,102.234,101.569,101.581,10.0,2.5,12.216216216216216,0.0,16.0,37,2,11.073170731707316,0,22.35,13.0,0.0,52.5
445,Azerbaijan Grand Prix,sargeant,0.0,19,0,1.0,10,0,williams,14,102.242,102.395,102.395,0.0,0.0,14.666666666666666,0.0,14.666666666666666,3,0,13.372727272727271,0,22.35,13.0,0.0,52.5
463,Miami Grand Prix,de_vries,0.0,20,0,2.0,9,0,alphatauri,15,88.325,88.395,88.395,0.0,0.0,13.0,0.0,14.333333333333334,4,0,11.470588235294118,0,23.9,12.7,0.0,70.0
465,Miami Grand Prix,sargeant,0.0,19,0,1.0,10,0,williams,20,88.577,88.577,88.577,0.0,0.0,15.0,0.0,16.0,4,0,13.396396396396396,1,23.9,12.7,0.0,70.0
468,Monaco Grand Prix,hulkenberg,37.0,9,0,41.0,6,0,sauber,18,73.279,73.279,73.279,0.0,0.0,13.571428571428571,0.0,6.0,7,0,13.2,0,23.2,5.05,0.15,66.5
